game_id,winner,placement,snake_id,snake_name,turns_survived,start_length,max_length,final_length,final_health,alive_at_end,survival_score,growth_score,performance_score
c518fd38-7021-482d-81ea-a57074b98b25,,1,537c0d24-d187-4fc2-8f52-7cd5c67c0a05,Me,21,3,3,3,80,0,0.913,0.0,0.7304
3605b219-550b-4301-b015-481e29336e12,Snake2,1,fa0a3fc0-14b1-47ef-9e40-8c068047e6aa,Snake2,217,3,18,18,12,1,1.0,1.0,1.0
3605b219-550b-4301-b015-481e29336e12,Snake2,2,e1905cb2-6f1e-4d39-9cda-54cea10c803c,Snake1,215,3,13,13,99,0,0.9908,1.0,0.9926
3605b219-550b-4301-b015-481e29336e12,Snake2,1,fa0a3fc0-14b1-47ef-9e40-8c068047e6aa,Snake2,217,3,18,18,12,1,1.0,1.0,1.0
3605b219-550b-4301-b015-481e29336e12,Snake2,2,e1905cb2-6f1e-4d39-9cda-54cea10c803c,Snake1,215,3,13,13,99,0,0.9908,1.0,0.9926
2a581f1c-69a9-4620-bf44-8480cb81db4f,Snake1,1,3841597e-494a-4c17-98c0-371f439b76df,Snake1,253,3,25,25,96,1,1.0,1.0,1.0
2a581f1c-69a9-4620-bf44-8480cb81db4f,Snake1,2,d9381475-ba16-42cc-95d6-aa7db19e1c5d,Snake2,251,3,14,14,73,0,0.9921,1.0,0.9937
2a581f1c-69a9-4620-bf44-8480cb81db4f,Snake1,1,3841597e-494a-4c17-98c0-371f439b76df,Snake1,253,3,25,25,96,1,1.0,1.0,1.0
2a581f1c-69a9-4620-bf44-8480cb81db4f,Snake1,2,d9381475-ba16-42cc-95d6-aa7db19e1c5d,Snake2,251,3,14,14,73,0,0.9921,1.0,0.9937
fe3d8fb6-ab34-4301-a879-faf6265ecce5,Snake1,1,1c639e93-99fa-4b23-bf8c-6c00b0223683,Snake1,351,3,36,36,92,1,1.0,1.0,1.0
fe3d8fb6-ab34-4301-a879-faf6265ecce5,Snake1,2,c44ca278-cf87-425e-8142-65b18903a9a1,Snake2,349,3,20,20,88,0,0.9943,1.0,0.9954
fe3d8fb6-ab34-4301-a879-faf6265ecce5,Snake1,1,1c639e93-99fa-4b23-bf8c-6c00b0223683,Snake1,351,3,36,36,92,1,1.0,1.0,1.0
fe3d8fb6-ab34-4301-a879-faf6265ecce5,Snake1,2,c44ca278-cf87-425e-8142-65b18903a9a1,Snake2,349,3,20,20,88,0,0.9943,1.0,0.9954
